Author,Co Author,Author_encoded,CoAuthor_encoded
Hengki Tasman,ilmiyati sari,6,105
Hengki Tasman,adi pancoro,6,106
Hengki Tasman,Dewi Putrie Lestari,6,107
Hengki Tasman,Wono Setya Budhi,6,108
Hengki Tasman,F. Fatmawati,6,109
Hengki Tasman,Taniawati Supali,6,110
Maulana Malik,Poom Kumam,7,111
Maulana Malik,Abdulkarim Hassan Ibrahim,7,112
Maulana Malik,Dipo Aldila,7,2
Maulana Malik,Aliyu Muhammed Awwal,7,113
Maulana Malik,Basim A. Hassan,7,114
Maulana Malik,Hassan Mohammad,7,115
Maulana Malik,Norsuhaily Abu Bakar,7,116
Maulana Malik,Mohammad Ahmed Alomari,7,117
Maulana Malik,Kanokwan Sitthithakerngkiet,7,118
Maulana Malik,Usman Abbas Yakubu,7,119
Maulana Malik,Jitsupa Deepho,7,120
Maulana Malik,Nuttapol Pakkaranang,7,121
Maulana Malik,Bancha Panyanak,7,122
Maulana Malik,Parin Chaipunya,7,123
Maulana Malik,Ioannis Argyros,7,124
Radifa Hilya Paradisa,"Prof. Alhadi Bustamam, Ph.D",8,0
Radifa Hilya Paradisa,Devvi Sarwinda,8,1
Radifa Hilya Paradisa,Andi Arus Viktor,8,30
Radifa Hilya Paradisa,Anggun Rama Yudantha,8,31
Radifa Hilya Paradisa,Wibowo Mangunwardoyo,8,25
Radifa Hilya Paradisa,Titin Siswantining,8,21
Yekti Widyaningsih,Sindy Devila,9,125
Yekti Widyaningsih,Mila Novita,9,126
Yekti Widyaningsih,Siti Nurrohmah,9,127
Yekti Widyaningsih,Suci Fratama Sari,9,11
Gatot F Hertono,Rahmi Rusin,10,128
Gatot F Hertono,Hengki Tasman,10,6
Gatot F Hertono,"Prof. Alhadi Bustamam, Ph.D",10,0
Gatot F Hertono,Hendri Murfi,10,4
Gatot F Hertono,Gianinna Ardaneswari,10,3
Suci Fratama Sari,Mila Novita,11,126
Suci Fratama Sari,Siti Nurrohmah,11,127
Suci Fratama Sari,Yekti Widyaningsih,11,9
Ida Mujtahidah,"Prof. Alhadi Bustamam, Ph.D",12,0
Ida Mujtahidah,Dian Lestari,12,24
Kiki Ariyanti Sugeng,Mirka Miller,13,129
Kiki Ariyanti Sugeng,Martin Bača,13,130
Kiki Ariyanti Sugeng,Joe Ryan,13,131
Kiki Ariyanti Sugeng,Denny Riama Silaban,13,14
Kiki Ariyanti Sugeng,Rinovia Simanjuntak,13,132
Kiki Ariyanti Sugeng,Andrea Semanicova-Fenovcikova,13,133
Kiki Ariyanti Sugeng,Yuqing Lin,13,134
Kiki Ariyanti Sugeng,Indah Emilia Wijayanti,13,135
Kiki Ariyanti Sugeng,Isnaini Rosyida,13,136
Kiki Ariyanti Sugeng,"Prof. Dr.rer.nat Widodo, M.S.",13,137
Kiki Ariyanti Sugeng,Edy Tri Baskoro,13,138
Kiki Ariyanti Sugeng,Slamin,13,139
Kiki Ariyanti Sugeng,Jin Peng,13,140
Kiki Ariyanti Sugeng,Christiana Rini Indrati,13,141
Kiki Ariyanti Sugeng,Nora Hariadi,13,54
Kiki Ariyanti Sugeng,Henning Fernau,13,142
Kiki Ariyanti Sugeng,Camino Balbuena,13,143
Kiki Ariyanti Sugeng,Suarsih Utama,13,144
Kiki Ariyanti Sugeng,Arumugam S,13,145
Kiki Ariyanti Sugeng,Bevina D Handari,13,53
Kiki Ariyanti Sugeng,Fitri Alyani,13,146
Kiki Ariyanti Sugeng,A.N.M. Salman,13,147
Kiki Ariyanti Sugeng,Sylwia Cichacz,13,148
Kiki Ariyanti Sugeng,Kinkar Chandra Das,13,149
Kiki Ariyanti Sugeng,Tkáč Michal,13,150
Kiki Ariyanti Sugeng,Dipo Aldila,13,2
Kiki Ariyanti Sugeng,Mauritsius Tuga,13,151
Kiki Ariyanti Sugeng,Hendri Murfi,13,4
Kiki Ariyanti Sugeng,Stanislav Jendroľ,13,152
Kiki Ariyanti Sugeng,Titin Siswantining,13,21
Kiki Ariyanti Sugeng,Nisa Ayunda,13,153
Kiki Ariyanti Sugeng,Ermita Rizki Albirri,13,154
Kiki Ariyanti Sugeng,Srava Chrisdes Antoro,13,155
Kiki Ariyanti Sugeng,Indra Bayu Muktyas,13,156
Kiki Ariyanti Sugeng,annisa dini handayani,13,157
Denny Riama Silaban,Kiki Ariyanti Sugeng,14,13
Denny Riama Silaban,Edy Tri Baskoro,14,138
Denny Riama Silaban,Mirka Miller,14,129
Denny Riama Silaban,Bevina D Handari,14,53
Arman Haqqi Anna Zili,Selly Anastassia Amellia Kharis,15,158
Arman Haqqi Anna Zili,Dian Lestari,15,24
Arman Haqqi Anna Zili,Agustiani Putri,15,159
Arman Haqqi Anna Zili,"Melisa Arisanty, S.I.Kom, M.Si",15,160
